Bulk100InventoryEDCs
"435553,447155,492059,519327,589257,630999,713034,731260,810786,835048"
"924786,947770,1000792,1003888,1070640,1194108,1211882,1265870,1446326,1473628"
"1612921,1612924,1616816,1812263,1843142,1847182,1849604,1920882,1982858,1990206"
"2015013,2066673,2071252,2071710,2166825,2175018,2175032,2186107,2222781,2231265"
"2237627,2260233,2289306,2295040,2310242,2325322,2334851,2356521,2442860,2453532"
"2464869,2465435,2465436,2474285,2497385,2497387,2503844,2538904,2541765,2557601"
"2580255,2580261,2612011,2612122,2629637,2638748,2638749,2642863,2651665,2659196"
"2664801,2672742,2718114,2735470,2743749,2749006,2754464,2831616,2839650,2841594"
"2848945,2861865,2870137,2870570,2870583,2875308,2886520,2909803,2942789,2945522"
"2945914,2953341,2979360,2994087,2997838,2997841,3001829,3003127,3006905,3007701"
